Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1975,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1976,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1977,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1978,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1979,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1980,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1981,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1982,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1983,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1984,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1985,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1986,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1987,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1988,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1989,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1990,0.009,0.087,0.446,0.847,0.97,0.994,0.998,1,1,1,1,1,1,1
1991,0.008,0.064,0.328,0.744,0.937,0.985,0.996,0.999,1,1,1,1,1,1
1992,0.009,0.093,0.469,0.86,0.972,0.994,0.999,1,1,1,1,1,1,1
1993,0.01,0.106,0.524,0.89,0.979,0.996,0.999,1,1,1,1,1,1,1
1994,0.009,0.092,0.463,0.855,0.97,0.993,0.998,1,1,1,1,1,1,1
1995,0.009,0.087,0.439,0.838,0.965,0.992,0.998,0.999,1,1,1,1,1,1
1996,0.008,0.064,0.32,0.728,0.928,0.981,0.995,0.998,0.999,1,1,1,1,1
1997,0.008,0.059,0.293,0.692,0.912,0.976,0.993,0.998,0.999,1,1,1,1,1
1998,0.013,0.1,0.433,0.81,0.952,0.988,0.996,0.999,1,1,1,1,1,1
1999,0.014,0.116,0.492,0.851,0.965,0.991,0.997,0.999,1,1,1,1,1,1
2000,0.013,0.097,0.414,0.79,0.944,0.984,0.995,0.998,0.999,1,1,1,1,1
2001,0.04,0.268,0.713,0.931,0.984,0.996,0.999,0.999,1,1,1,1,1,1
2002,0.039,0.259,0.696,0.923,0.981,0.995,0.998,0.999,1,1,1,1,1,1
2003,0.037,0.231,0.644,0.898,0.972,0.992,0.997,0.999,1,1,1,1,1,1
2004,0.04,0.258,0.689,0.918,0.978,0.994,0.998,0.999,1,1,1,1,1,1
2005,0.04,0.258,0.687,0.915,0.977,0.993,0.997,0.999,1,1,1,1,1,1
2006,0.035,0.196,0.56,0.843,0.949,0.982,0.993,0.997,0.998,0.999,1,1,1,1
2007,0.036,0.203,0.572,0.849,0.951,0.982,0.993,0.997,0.998,0.999,0.999,1,1,1
2008,0.112,0.492,0.846,0.96,0.988,0.996,0.998,0.999,1,1,1,1,1,1
2009,0.109,0.469,0.825,0.951,0.985,0.994,0.998,0.999,0.999,1,1,1,1,1
2010,0.104,0.429,0.784,0.931,0.976,0.991,0.996,0.998,0.999,0.999,0.999,1,1,1
2011,0.098,0.388,0.734,0.904,0.964,0.984,0.992,0.996,0.997,0.998,0.999,0.999,0.999,0.999
2012,0.094,0.354,0.687,0.874,0.948,0.976,0.987,0.993,0.995,0.997,0.998,0.998,0.999,0.999
2013,0.094,0.355,0.685,0.872,0.946,0.974,0.986,0.992,0.995,0.996,0.997,0.998,0.998,0.999
2014,0.096,0.368,0.701,0.88,0.949,0.976,0.987,0.992,0.995,0.996,0.997,0.998,0.998,0.999
2015,0.251,0.644,0.877,0.956,0.982,0.991,0.995,0.997,0.998,0.999,0.999,0.999,0.999,0.999
2016,0.245,0.621,0.86,0.948,0.978,0.989,0.994,0.996,0.997,0.998,0.999,0.999,0.999,0.999
2017,0.248,0.629,0.865,0.95,0.978,0.989,0.994,0.996,0.997,0.998,0.999,0.999,0.999,0.999
2018,0.251,0.639,0.872,0.953,0.98,0.99,0.994,0.997,0.998,0.998,0.999,0.999,0.999,0.999
2019,0.251,0.639,0.872,0.953,0.98,0.99,0.994,0.997,0.998,0.998,0.999,0.999,0.999,0.999
