Age,Length,Count
2,341,7
3,341,1
1,342,2
2,342,6
1,343,1
2,343,6
1,344,1
2,344,8
2,345,6
1,346,2
2,346,5
2,347,7
3,347,1
1,348,2
2,348,9
3,348,1
2,349,6
1,350,1
2,350,8
3,350,1
1,351,2
2,351,8
3,351,1
2,352,10
3,352,1
2,353,8
1,354,1
2,354,6
1,355,1
2,355,9
4,355,1
1,356,2
2,356,6
1,357,1
2,357,13
1,358,1
2,358,6
4,358,1
1,359,3
2,359,6
1,360,2
2,360,4
1,361,1
2,361,6
3,361,1
1,362,1
2,362,10
3,362,3
1,363,1
2,363,11
3,363,1
2,364,9
2,365,6
1,366,1
2,366,10
3,366,2
4,366,1
2,367,2
3,367,1
1,368,2
2,368,11
3,368,1
1,369,1
2,369,3
3,369,2
1,370,1
2,370,8
3,370,1
2,371,15
2,372,6
2,373,4
1,374,1
2,374,8
2,375,12
3,375,1
1,376,1
2,376,4
2,377,6
3,377,1
1,378,2
2,378,11
3,378,1
1,379,1
2,379,6
1,380,1
2,380,9
3,380,2
2,381,9
2,382,9
3,382,1
2,383,8
3,383,2
1,384,1
2,384,8
3,384,1
2,385,6
3,385,2
1,386,1
2,386,12
3,386,3
4,386,1
1,387,4
2,387,8
3,387,2
2,388,11
3,388,2
1,389,1
2,389,13
3,389,2
2,390,15
2,391,22
3,391,1
2,392,15
3,392,5
1,393,1
2,393,10
3,393,1
2,394,12
2,395,19
3,395,3
4,395,1
1,396,1
2,396,9
3,396,5
1,397,1
2,397,14
3,397,3
2,398,13
3,398,3
1,399,1
2,399,10
3,399,1
1,400,1
2,400,15
3,400,4
2,401,15
3,401,4
2,402,19
3,402,4
2,403,12
3,403,2
2,404,11
3,404,3
2,405,8
3,405,1
1,406,1
2,406,13
3,406,7
2,407,13
3,407,3
2,408,17
3,408,5
2,409,11
3,409,1
2,410,18
2,411,11
3,411,2
4,411,1
2,412,12
3,412,7
2,413,16
3,413,4
2,414,15
3,414,3
2,415,12
3,415,6
2,416,19
3,416,8
1,417,1
2,417,19
3,417,6
2,418,10
3,418,3
2,419,15
3,419,6
2,420,18
3,420,5
4,420,1
2,421,10
3,421,9
2,422,14
3,422,4
2,423,6
3,423,4
2,424,21
3,424,3
2,425,6
3,425,8
2,426,20
3,426,7
4,426,1
2,427,19
3,427,3
2,428,11
3,428,5
2,429,8
3,429,6
2,430,9
3,430,4
2,431,15
3,431,9
2,432,13
3,432,6
2,433,11
3,433,8
4,433,2
2,434,10
3,434,8
2,435,13
3,435,8
2,436,13
3,436,20
2,437,12
3,437,18
2,438,18
3,438,6
1,439,1
2,439,11
3,439,12
2,440,8
3,440,7
4,440,2
2,441,16
3,441,12
4,441,1
2,442,7
3,442,13
4,442,1
2,443,15
3,443,11
4,443,2
2,444,12
3,444,10
4,444,1
1,445,1
2,445,16
3,445,13
4,445,2
2,446,12
3,446,13
4,446,1
2,447,15
3,447,9
4,447,1
2,448,8
3,448,15
4,448,2
2,449,15
3,449,15
4,449,1
2,450,9
3,450,16
4,450,1
2,451,12
3,451,13
4,451,1
2,452,2
3,452,18
4,452,1
2,453,8
3,453,17
2,454,11
3,454,14
4,454,2
2,455,11
3,455,14
4,455,3
5,455,1
2,456,17
3,456,23
4,456,1
2,457,7
3,457,16
4,457,1
2,458,15
3,458,25
4,458,2
2,459,19
3,459,11
4,459,2
2,460,9
3,460,13
4,460,2
2,461,18
3,461,17
4,461,3
2,462,13
3,462,15
2,463,11
3,463,19
4,463,7
2,464,15
3,464,18
4,464,2
2,465,10
3,465,14
4,465,2
5,465,1
2,466,17
3,466,10
4,466,3
2,467,7
3,467,15
4,467,3
2,468,9
3,468,15
4,468,1
2,469,14
3,469,21
4,469,1
2,470,5
3,470,25
4,470,4
2,471,11
3,471,14
4,471,3
2,472,15
3,472,24
4,472,3
2,473,12
3,473,21
4,473,1
2,474,10
3,474,17
4,474,4
2,475,12
3,475,10
4,475,6
2,476,11
3,476,31
4,476,4
2,477,12
3,477,17
4,477,2
2,478,12
3,478,22
4,478,6
2,479,18
3,479,20
4,479,3
2,480,6
3,480,27
4,480,7
2,481,11
3,481,12
4,481,7
2,482,13
3,482,16
4,482,3
2,483,10
3,483,23
4,483,4
2,484,12
3,484,13
4,484,3
2,485,7
3,485,21
4,485,3
2,486,7
3,486,22
4,486,7
2,487,12
3,487,26
4,487,4
2,488,9
3,488,26
4,488,8
6,488,1
2,489,3
3,489,28
4,489,9
2,490,13
3,490,20
4,490,5
5,490,1
2,491,7
3,491,31
4,491,1
2,492,5
3,492,24
4,492,6
2,493,12
3,493,27
4,493,6
2,494,5
3,494,30
4,494,5
5,494,2
2,495,9
3,495,24
4,495,5
5,495,2
2,496,8
3,496,28
4,496,9
6,496,2
2,497,8
3,497,31
4,497,4
5,497,1
2,498,7
3,498,24
4,498,2
5,498,1
2,499,4
3,499,17
4,499,4
5,499,1
2,500,5
3,500,30
4,500,7
3,501,21
4,501,10
2,502,2
3,502,39
4,502,11
5,502,1
2,503,4
3,503,32
4,503,5
5,503,2
2,504,1
3,504,40
4,504,7
5,504,1
2,505,3
3,505,20
4,505,2
6,505,1
2,506,4
3,506,24
4,506,9
5,506,1
2,507,2
3,507,33
4,507,10
5,507,2
2,508,2
3,508,27
4,508,9
3,509,29
4,509,4
2,510,2
3,510,26
4,510,5
5,510,2
3,511,18
4,511,13
2,512,1
3,512,34
4,512,16
2,513,3
3,513,28
4,513,10
5,513,2
2,514,3
3,514,27
4,514,8
2,515,3
3,515,26
4,515,12
5,515,1
6,515,1
2,516,1
3,516,22
4,516,12
2,517,3
3,517,26
4,517,10
5,517,3
2,518,3
3,518,34
4,518,17
2,519,2
3,519,22
4,519,16
5,519,1
2,520,1
3,520,27
4,520,11
5,520,2
6,520,1
3,521,23
4,521,10
5,521,2
3,522,27
4,522,8
2,523,1
3,523,41
4,523,7
5,523,1
3,524,23
4,524,7
5,524,5
3,525,22
4,525,10
2,526,1
3,526,39
4,526,12
5,526,3
2,527,2
3,527,32
4,527,20
2,528,1
3,528,37
4,528,13
5,528,1
3,529,29
4,529,8
5,529,3
2,530,1
3,530,29
4,530,19
5,530,4
6,530,1
2,531,2
3,531,29
4,531,13
5,531,2
2,532,2
3,532,22
4,532,14
5,532,3
3,533,31
4,533,12
5,533,3
6,533,1
3,534,29
4,534,16
5,534,4
2,535,1
3,535,24
4,535,17
5,535,2
6,535,1
3,536,26
4,536,15
5,536,5
2,537,2
3,537,33
4,537,10
5,537,5
3,538,32
4,538,20
5,538,3
3,539,30
4,539,17
5,539,3
2,540,1
3,540,38
4,540,22
5,540,4
6,540,1
2,541,1
3,541,25
4,541,18
5,541,5
6,541,1
2,542,1
3,542,29
4,542,20
5,542,2
3,543,28
4,543,19
5,543,9
3,544,27
4,544,16
5,544,4
3,545,30
4,545,24
5,545,4
6,545,1
3,546,20
4,546,23
5,546,4
3,547,28
4,547,21
5,547,5
6,547,1
3,548,29
4,548,18
5,548,6
3,549,31
4,549,16
5,549,6
3,550,28
4,550,16
5,550,4
6,550,1
2,551,1
3,551,30
4,551,13
5,551,10
2,552,1
3,552,23
4,552,25
5,552,1
3,553,32
4,553,20
5,553,1
6,553,2
3,554,36
4,554,16
5,554,5
6,554,2
2,555,1
3,555,28
4,555,15
5,555,5
3,556,29
4,556,18
5,556,5
6,556,1
3,557,31
4,557,21
5,557,6
3,558,26
4,558,19
5,558,5
3,559,28
4,559,26
5,559,6
6,559,1
3,560,29
4,560,20
5,560,4
2,561,1
3,561,28
4,561,21
5,561,7
6,561,1
3,562,30
4,562,25
5,562,6
6,562,1
3,563,34
4,563,14
5,563,8
6,563,1
3,564,19
4,564,17
5,564,6
3,565,22
4,565,28
5,565,9
6,565,2
2,566,1
3,566,28
4,566,19
5,566,7
6,566,3
3,567,27
4,567,33
5,567,6
6,567,1
3,568,40
4,568,13
5,568,8
6,568,1
2,569,1
3,569,23
4,569,19
5,569,13
6,569,1
3,570,15
4,570,24
5,570,6
3,571,16
4,571,19
5,571,13
3,572,27
4,572,19
5,572,10
6,572,1
3,573,31
4,573,22
5,573,11
3,574,32
4,574,20
5,574,11
6,574,3
3,575,21
4,575,24
5,575,5
6,575,2
2,576,1
3,576,24
4,576,28
5,576,12
6,576,1
3,577,30
4,577,23
5,577,10
6,577,2
3,578,15
4,578,18
5,578,14
6,578,1
3,579,28
4,579,22
5,579,15
6,579,2
3,580,27
4,580,22
5,580,7
6,580,1
3,581,14
4,581,27
5,581,9
3,582,19
4,582,27
5,582,9
6,582,5
3,583,21
4,583,29
5,583,9
6,583,3
3,584,26
4,584,30
5,584,14
6,584,2
3,585,13
4,585,37
5,585,8
6,585,1
3,586,19
4,586,24
5,586,17
6,586,4
3,587,21
4,587,26
5,587,11
6,587,1
3,588,22
4,588,25
5,588,20
6,588,5
3,589,19
4,589,39
5,589,9
6,589,1
3,590,20
4,590,29
5,590,13
6,590,5
3,591,18
4,591,20
5,591,13
6,591,3
7,591,1
3,592,23
4,592,23
5,592,10
6,592,1
3,593,14
4,593,30
5,593,12
6,593,1
7,593,1
3,594,22
4,594,22
5,594,13
6,594,1
3,595,19
4,595,29
5,595,9
6,595,2
3,596,18
4,596,41
5,596,13
6,596,6
3,597,26
4,597,32
5,597,14
3,598,17
4,598,24
5,598,11
6,598,1
7,598,1
3,599,19
4,599,26
5,599,12
6,599,2
7,599,1
3,600,17
4,600,31
5,600,21
6,600,8
3,601,7
4,601,29
5,601,14
6,601,4
3,602,13
4,602,34
5,602,13
6,602,1
3,603,14
4,603,31
5,603,14
6,603,2
3,604,10
4,604,31
5,604,21
6,604,7
3,605,13
4,605,44
5,605,15
6,605,2
7,605,2
3,606,11
4,606,34
5,606,15
6,606,5
7,606,1
3,607,12
4,607,31
5,607,11
6,607,4
3,608,10
4,608,28
5,608,17
6,608,3
7,608,1
3,609,13
4,609,35
5,609,11
6,609,2
7,609,1
3,610,8
4,610,31
5,610,10
6,610,6
7,610,1
3,611,7
4,611,36
5,611,15
6,611,7
7,611,1
3,612,15
4,612,34
5,612,22
6,612,5
3,613,11
4,613,41
5,613,12
6,613,3
3,614,9
4,614,28
5,614,13
6,614,3
3,615,11
4,615,35
5,615,16
6,615,5
3,616,18
4,616,41
5,616,12
6,616,5
7,616,1
3,617,4
4,617,25
5,617,23
6,617,7
3,618,7
4,618,29
5,618,15
6,618,2
7,618,2
3,619,5
4,619,45
5,619,17
6,619,4
7,619,1
3,620,8
4,620,39
5,620,21
6,620,3
7,620,1
3,621,8
4,621,33
5,621,16
6,621,10
3,622,15
4,622,46
5,622,22
6,622,3
3,623,11
4,623,33
5,623,14
6,623,3
3,624,11
4,624,46
5,624,21
6,624,6
3,625,8
4,625,35
5,625,12
6,625,3
7,625,1
3,626,8
4,626,37
5,626,12
6,626,3
7,626,1
3,627,12
4,627,24
5,627,10
6,627,5
3,628,14
4,628,37
5,628,16
6,628,7
3,629,9
4,629,33
5,629,19
6,629,4
3,630,10
4,630,45
5,630,12
6,630,6
3,631,10
4,631,31
5,631,17
6,631,7
7,631,3
3,632,4
4,632,33
5,632,21
6,632,6
3,633,3
4,633,30
5,633,21
6,633,5
7,633,1
3,634,9
4,634,28
5,634,19
6,634,10
3,635,5
4,635,35
5,635,16
6,635,6
7,635,2
3,636,6
4,636,30
5,636,23
6,636,5
3,637,6
4,637,22
5,637,15
6,637,3
7,637,2
3,638,10
4,638,21
5,638,17
6,638,6
3,639,1
4,639,30
5,639,9
6,639,3
3,640,6
4,640,32
5,640,20
6,640,6
3,641,6
4,641,35
5,641,20
6,641,7
3,642,6
4,642,32
5,642,15
6,642,7
7,642,1
3,643,6
4,643,30
5,643,13
6,643,8
7,643,1
3,644,9
4,644,27
5,644,22
6,644,3
7,644,2
3,645,6
4,645,39
5,645,16
6,645,6
3,646,2
4,646,32
5,646,20
6,646,6
7,646,2
3,647,3
4,647,33
5,647,17
6,647,6
7,647,3
9,647,1
3,648,2
4,648,29
5,648,25
6,648,6
7,648,1
3,649,3
4,649,28
5,649,17
6,649,4
7,649,1
3,650,2
4,650,31
5,650,14
6,650,8
3,651,3
4,651,26
5,651,16
6,651,8
7,651,1
3,652,3
4,652,20
5,652,21
6,652,4
7,652,1
3,653,2
4,653,21
5,653,18
6,653,5
3,654,2
4,654,25
5,654,16
6,654,6
7,654,1
3,655,6
4,655,17
5,655,14
6,655,12
7,655,1
3,656,4
4,656,26
5,656,21
6,656,7
7,656,2
3,657,1
4,657,23
5,657,22
6,657,4
3,658,4
4,658,37
5,658,28
6,658,6
7,658,1
3,659,5
4,659,39
5,659,18
6,659,14
7,659,2
3,660,9
4,660,25
5,660,14
6,660,7
7,660,1
3,661,2
4,661,26
5,661,21
6,661,6
7,661,1
4,662,17
5,662,14
6,662,6
7,662,1
3,663,6
4,663,24
5,663,24
6,663,8
3,664,4
4,664,29
5,664,22
6,664,5
7,664,1
8,664,1
3,665,4
4,665,28
5,665,22
6,665,5
7,665,1
3,666,4
4,666,37
5,666,18
6,666,7
7,666,2
3,667,4
4,667,27
5,667,21
6,667,4
7,667,1
3,668,1
4,668,24
5,668,14
6,668,8
7,668,2
3,669,1
4,669,31
5,669,24
6,669,9
7,669,3
8,669,1
9,669,1
3,670,3
4,670,23
5,670,15
6,670,8
8,670,1
4,671,24
5,671,15
6,671,7
7,671,3
3,672,5
4,672,34
5,672,19
6,672,8
7,672,2
3,673,3
4,673,22
5,673,20
6,673,3
7,673,1
3,674,3
4,674,29
5,674,24
6,674,8
7,674,2
3,675,1
4,675,29
5,675,18
6,675,7
7,675,3
4,676,30
5,676,20
6,676,10
7,676,1
3,677,1
4,677,18
5,677,17
6,677,12
7,677,2
8,677,1
3,678,5
4,678,27
5,678,24
6,678,8
7,678,1
3,679,4
4,679,36
5,679,23
6,679,3
7,679,2
3,680,1
4,680,28
5,680,19
6,680,6
7,680,1
8,680,1
3,681,5
4,681,36
5,681,21
6,681,10
3,682,2
4,682,16
5,682,26
6,682,6
7,682,2
3,683,1
4,683,22
5,683,19
6,683,5
7,683,2
3,684,4
4,684,25
5,684,25
6,684,10
7,684,2
3,685,1
4,685,23
5,685,19
6,685,10
7,685,3
4,686,24
5,686,22
6,686,9
7,686,2
3,687,1
4,687,27
5,687,24
6,687,12
7,687,2
4,688,18
5,688,22
6,688,6
7,688,2
8,688,1
3,689,3
4,689,21
5,689,20
6,689,6
9,689,1
3,690,1
4,690,26
5,690,16
6,690,11
7,690,3
3,691,1
4,691,30
5,691,28
6,691,6
7,691,2
3,692,1
4,692,15
5,692,20
6,692,9
3,693,1
4,693,21
5,693,12
6,693,6
4,694,20
5,694,19
6,694,14
7,694,4
3,695,2
4,695,19
5,695,14
6,695,8
7,695,2
3,696,1
4,696,19
5,696,22
6,696,8
4,697,26
5,697,22
6,697,9
7,697,1
4,698,26
5,698,14
6,698,8
7,698,4
3,699,3
4,699,15
5,699,19
6,699,11
3,700,1
4,700,17
5,700,31
6,700,11
7,700,4
4,701,18
5,701,25
6,701,8
7,701,6
8,701,1
4,702,12
5,702,26
6,702,7
7,702,1
8,702,1
4,703,10
5,703,21
6,703,4
7,703,1
8,703,1
4,704,8
5,704,23
6,704,7
7,704,1
4,705,6
5,705,27
6,705,11
7,705,4
3,706,1
4,706,10
5,706,28
6,706,15
7,706,4
4,707,14
5,707,19
6,707,12
4,708,14
5,708,25
6,708,7
7,708,5
3,709,1
4,709,7
5,709,12
6,709,12
7,709,6
4,710,11
5,710,20
6,710,9
7,710,5
4,711,12
5,711,26
6,711,9
7,711,2
8,711,1
4,712,11
5,712,23
6,712,7
7,712,2
8,712,1
9,712,1
3,713,1
4,713,13
5,713,29
6,713,9
7,713,1
8,713,1
3,714,1
4,714,12
5,714,27
6,714,13
7,714,3
8,714,1
4,715,9
5,715,23
6,715,9
7,715,4
4,716,7
5,716,24
6,716,12
7,716,4
9,716,1
4,717,9
5,717,18
6,717,7
7,717,7
4,718,18
5,718,14
6,718,9
7,718,2
8,718,1
9,718,1
4,719,14
5,719,25
6,719,9
7,719,1
8,719,2
4,720,12
5,720,24
6,720,8
7,720,1
8,720,2
4,721,10
5,721,21
6,721,16
7,721,2
4,722,13
5,722,14
6,722,9
7,722,3
4,723,12
5,723,24
6,723,12
7,723,5
9,723,1
4,724,8
5,724,25
6,724,10
7,724,5
8,724,1
4,725,13
5,725,18
6,725,8
7,725,1
8,725,1
4,726,9
5,726,22
6,726,19
7,726,2
4,727,6
5,727,23
6,727,12
7,727,4
4,728,5
5,728,19
6,728,12
7,728,5
3,729,1
4,729,10
5,729,29
6,729,5
7,729,5
4,730,3
5,730,26
6,730,14
7,730,4
4,731,9
5,731,21
6,731,16
7,731,2
8,731,1
4,732,12
5,732,22
6,732,10
7,732,3
4,733,1
5,733,22
6,733,14
7,733,2
4,734,6
5,734,25
6,734,9
7,734,4
8,734,1
4,735,8
5,735,21
6,735,8
8,735,1
4,736,11
5,736,29
6,736,13
7,736,4
4,737,5
5,737,25
6,737,13
7,737,3
4,738,3
5,738,21
6,738,9
7,738,5
4,739,4
5,739,17
6,739,10
7,739,3
4,740,3
5,740,17
6,740,11
7,740,2
4,741,7
5,741,28
6,741,9
7,741,3
4,742,8
5,742,22
6,742,9
7,742,2
4,743,8
5,743,22
6,743,15
7,743,2
4,744,6
5,744,22
6,744,12
7,744,3
9,744,1
4,745,3
5,745,16
6,745,14
7,745,3
4,746,3
5,746,23
6,746,6
7,746,4
4,747,6
5,747,20
6,747,12
7,747,6
9,747,1
10,747,1
4,748,4
5,748,19
6,748,8
7,748,4
4,749,3
5,749,21
6,749,7
7,749,4
8,749,1
4,750,6
5,750,19
6,750,15
7,750,3
8,750,1
4,751,5
5,751,19
6,751,11
7,751,6
4,752,5
5,752,23
6,752,8
7,752,4
4,753,4
5,753,19
6,753,11
7,753,2
3,754,1
4,754,3
5,754,19
6,754,13
7,754,3
8,754,1
4,755,5
5,755,14
6,755,13
7,755,1
4,756,4
5,756,15
6,756,11
7,756,1
8,756,4
4,757,2
5,757,14
6,757,15
7,757,2
8,757,1
4,758,6
5,758,18
6,758,10
7,758,1
8,758,2
4,759,2
5,759,18
6,759,11
7,759,2
4,760,6
5,760,15
6,760,12
7,760,4
8,760,2
4,761,4
5,761,23
6,761,8
7,761,1
8,761,2
9,761,1
4,762,1
5,762,9
6,762,8
7,762,4
4,763,4
5,763,25
6,763,8
8,763,4
4,764,2
5,764,8
6,764,11
7,764,6
8,764,2
4,765,4
5,765,17
6,765,13
7,765,2
8,765,1
4,766,2
5,766,12
6,766,8
7,766,2
8,766,2
9,766,1
4,767,3
5,767,19
6,767,11
7,767,1
8,767,1
4,768,4
5,768,17
6,768,7
7,768,3
8,768,1
4,769,1
5,769,13
6,769,11
7,769,4
4,770,1
5,770,23
6,770,12
7,770,2
8,770,1
4,771,3
5,771,23
6,771,16
7,771,6
8,771,2
4,772,2
5,772,7
6,772,7
7,772,1
8,772,2
4,773,4
5,773,14
6,773,13
7,773,1
8,773,3
4,774,5
5,774,16
6,774,12
7,774,2
4,775,2
5,775,12
6,775,9
8,775,2
4,776,1
5,776,11
6,776,9
7,776,3
4,777,2
5,777,13
6,777,7
7,777,2
11,777,1
4,778,2
5,778,20
6,778,11
7,778,6
8,778,3
9,778,1
4,779,2
5,779,9
6,779,8
7,779,4
4,780,1
5,780,17
6,780,12
7,780,6
8,780,1
11,780,1
5,781,18
6,781,8
7,781,1
8,781,1
4,782,1
5,782,12
6,782,15
7,782,2
8,782,1
4,783,4
5,783,13
6,783,6
7,783,3
4,784,2
5,784,10
6,784,9
7,784,3
8,784,1
9,784,1
4,785,3
5,785,10
6,785,13
7,785,5
4,786,4
5,786,11
6,786,12
7,786,9
4,787,1
5,787,12
6,787,13
7,787,1
4,788,2
5,788,11
6,788,10
7,788,3
5,789,15
6,789,14
7,789,5
9,789,1
4,790,3
5,790,7
6,790,6
7,790,7
4,791,4
5,791,10
6,791,10
7,791,5
8,791,2
4,792,3
5,792,10
6,792,15
7,792,2
4,793,2
5,793,13
6,793,11
7,793,3
8,793,4
4,794,1
5,794,8
6,794,6
7,794,3
8,794,1
4,795,1
5,795,9
6,795,11
7,795,4
4,796,1
5,796,8
6,796,9
7,796,6
8,796,1
5,797,10
6,797,6
9,797,1
4,798,1
5,798,10
6,798,14
7,798,2
5,799,8
6,799,9
7,799,7
8,799,1
5,800,5
6,800,10
7,800,7
8,800,2
9,800,1
5,801,8
6,801,10
7,801,4
9,801,1
5,802,6
6,802,9
7,802,1
8,802,1
4,803,1
5,803,10
6,803,10
7,803,7
9,803,1
5,804,4
6,804,8
7,804,6
8,804,2
9,804,1
4,805,1
5,805,7
6,805,7
7,805,9
10,805,1
5,806,9
6,806,8
7,806,7
8,806,4
5,807,5
6,807,12
7,807,5
8,807,1
5,808,6
6,808,10
7,808,6
8,808,1
5,809,1
6,809,10
7,809,3
8,809,1
4,810,1
5,810,7
6,810,10
7,810,5
8,810,2
5,811,10
6,811,6
7,811,2
5,812,6
6,812,12
7,812,3
5,813,6
6,813,11
7,813,3
8,813,3
4,814,1
5,814,5
6,814,9
7,814,4
8,814,2
9,814,1
5,815,9
6,815,6
7,815,5
8,815,1
4,816,1
5,816,3
6,816,8
7,816,7
8,816,2
9,816,1
10,816,1
4,817,1
5,817,3
6,817,5
7,817,8
8,817,2
5,818,4
6,818,7
7,818,3
5,819,2
6,819,10
7,819,9
9,819,1
5,820,2
6,820,10
7,820,5
8,820,4
4,821,1
5,821,2
6,821,5
7,821,3
8,821,1
5,822,4
6,822,8
7,822,4
8,822,1
5,823,3
6,823,7
7,823,1
8,823,2
5,824,8
6,824,2
7,824,4
8,824,2
5,825,5
6,825,7
7,825,8
8,825,2
5,826,3
6,826,16
7,826,7
8,826,2
5,827,4
6,827,6
7,827,3
5,828,5
6,828,5
7,828,5
8,828,2
5,829,3
6,829,11
7,829,5
8,829,1
5,830,2
6,830,9
7,830,6
8,830,2
5,831,3
6,831,6
7,831,7
8,831,1
9,831,1
5,832,3
6,832,12
7,832,1
8,832,1
5,833,4
6,833,3
7,833,4
8,833,1
5,834,5
6,834,6
7,834,5
8,834,2
5,835,3
6,835,6
7,835,5
5,836,2
6,836,3
7,836,2
8,836,3
5,837,4
6,837,6
7,837,3
8,837,1
9,837,1
4,838,1
5,838,6
6,838,12
7,838,4
8,838,2
9,838,1
5,839,3
6,839,7
7,839,8
8,839,1
5,840,3
6,840,8
7,840,6
8,840,2
4,841,1
5,841,3
6,841,5
7,841,9
5,842,4
6,842,9
7,842,4
8,842,1
9,842,1
5,843,4
6,843,5
7,843,5
8,843,1
5,844,2
6,844,5
7,844,7
8,844,1
5,845,1
6,845,7
7,845,2
8,845,2
5,846,3
6,846,8
7,846,4
8,846,1
9,846,2
5,847,4
6,847,6
7,847,1
4,848,1
5,848,2
6,848,13
7,848,6
8,848,1
5,849,1
6,849,7
7,849,2
8,849,1
9,849,1
5,850,3
6,850,4
7,850,2
8,850,3
5,851,2
6,851,4
7,851,4
6,852,2
7,852,7
9,852,1
6,853,7
7,853,4
10,853,1
5,854,4
6,854,5
7,854,1
8,854,1
5,855,1
6,855,6
7,855,8
8,855,4
5,856,1
6,856,4
7,856,1
8,856,1
5,857,2
6,857,8
7,857,3
8,857,1
5,858,1
6,858,4
7,858,5
8,858,5
9,858,1
5,859,1
6,859,5
7,859,4
8,859,2
10,859,1
5,860,1
6,860,3
7,860,3
8,860,1
5,861,3
6,861,5
7,861,4
6,862,4
7,862,4
8,862,4
5,863,1
6,863,7
7,863,4
8,863,3
5,864,4
6,864,3
7,864,3
8,864,2
10,864,1
5,865,3
6,865,5
7,865,7
8,865,1
9,865,1
5,866,1
6,866,5
9,866,2
10,866,1
5,867,1
6,867,3
7,867,2
8,867,3
5,868,2
6,868,5
7,868,3
8,868,4
5,869,3
6,869,4
7,869,3
8,869,1
6,870,6
8,870,2
9,870,1
6,871,5
7,871,2
8,871,1
9,871,1
4,872,1
5,872,1
6,872,4
7,872,4
8,872,3
5,873,1
6,873,4
7,873,1
5,874,3
6,874,2
7,874,4
8,874,2
6,875,2
7,875,2
9,875,1
5,876,3
6,876,4
7,876,7
6,877,1
7,877,3
8,877,2
5,878,2
7,878,1
6,879,3
7,879,3
8,879,3
6,880,3
7,880,1
8,880,3
5,881,1
6,881,3
7,881,2
8,881,1
9,881,1
6,882,4
7,882,2
8,882,3
6,883,1
7,883,3
5,884,1
6,884,2
7,884,1
6,885,2
7,885,7
8,885,2
9,885,1
6,886,3
7,886,4
9,886,1
5,887,1
6,887,1
7,887,3
9,887,2
5,888,1
6,888,1
7,888,4
8,888,1
6,889,3
7,889,4
8,889,2
9,889,1
5,890,2
6,890,1
7,890,6
9,890,1
5,891,1
6,891,2
8,891,1
7,892,1
10,892,1
6,893,4
7,893,1
8,893,2
9,893,2
6,894,2
7,894,2
8,894,2
6,895,1
7,895,2
8,895,2
6,896,2
7,896,2
8,896,3
9,896,1
6,897,3
7,897,2
8,897,1
6,898,4
7,898,4
8,898,2
9,898,1
7,899,2
8,899,2
6,900,2
7,900,2
10,900,1
6,901,2
7,901,1
8,901,2
9,901,1
6,902,3
7,902,2
8,902,2
10,902,1
6,903,2
7,903,2
8,903,1
9,903,1
6,904,3
7,904,2
8,904,4
10,904,1
6,905,1
8,905,4
6,906,1
7,906,2
9,906,2
5,907,1
6,907,2
7,907,1
8,907,1
