"","R(age 1)","Low","High","SSB","Low","High","Fbar","Low","High","Catch","Low","High"
"35",1758846.38284201,1416795.9276125,2183476.48955306,104049.838611712,82423.8467564269,131349.959279583,0.761096777634434,0.589848258626848,0.982063261954932,157162.579817296,130037.428394903,189945.900958743
"36",117394.538765756,81638.1090093144,168811.819617874,111892.554573767,92064.5146154919,135990.982207781,1.13257579852329,0.911614028110331,1.40709543715513,185897.397672287,155297.528790025,222526.673351341
"37",262162.808108565,208076.767850161,330307.600725811,88832.1915466613,74074.42730875,106530.128435439,1.1712417061444,0.92969415638368,1.47554668897576,110401.732010471,92233.9787108522,132148.071689741
"38",449887.008747255,367109.00572318,551330.306487146,64107.3610624963,51993.9075572631,79042.9866782184,1.08385739493221,0.855100894660744,1.37381080979375,85700.5110095337,71199.2102274898,103155.323827728
"39",115870.660681116,86935.4817603144,154436.48249048,55512.8917990758,45561.4530095886,67637.9033664125,0.907525385229402,0.710185244542167,1.15970069945162,62386.4132421815,51839.510546415,75079.1146791295
"40",281672.860224118,225911.641299621,351197.484690969,54361.6620806355,45288.8421512458,65252.0612980147,1.13465207887685,0.909050492462034,1.41624183780234,64669.5622976922,53983.2881229689,77471.2403262384
"41",85609.2150489058,65321.3926127022,112198.123894019,45365.950053243,37925.2411103131,54266.4822682876,0.709856996981741,0.545935726235782,0.922996850999836,36274.1814295297,29958.7502033439,43920.9322635752
"42",240425.44931531,192960.406447609,299566.101370973,43372.1410743708,35908.1672855077,52387.597685453,0.85431265590235,0.662083732782438,1.10235318872387,38054.3639763878,31487.9943392499,45990.0558303358
"43",123411.511565707,93004.1417772455,163760.461586873,45167.711900794,37324.4219250834,54659.1773731421,0.842537530648201,0.642341762217326,1.10512741394914,39086.7696228171,32389.8798198865,47168.2997295088
"44",352461.088368699,284275.01704602,437002.238553863,41613.0305672567,33649.7292696982,51460.8690938502,0.854372498237024,0.66004380773579,1.10591502744007,36498.1981063306,30281.7810860141,43990.7567267965
