Stock,Code,Year,Rec,SSB,F,Catches,Landings,RecAge,FAge,Assmt,Blim,Bpa,MSYBtrigger,Fpa,FMSY,Flim
Irish,cod.27.7a,1991,161631,13573,0.559,7258,7095,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1992,37409,12906,0.54,7833,7735,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1993,76249,13559,0.557,7710,7555,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1994,75797,13743,0.496,5544,5402,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1995,91931,9275,0.446,4753,4587,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1996,132759,9364,0.505,5104,4964,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1997,34069,10588,0.5,5979,5859,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1998,11800,12887,0.438,5347,5318,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,1999,100775,12303,0.598,4943,4784,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2000,47099,6831,0.286,1973,1274,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2001,59540,9575,0.183,2316,2252,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2002,14475,12263,0.245,2741,2695,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2003,30211,12254,0.144,1500,1285,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2004,14226,11858,0.146,1326,1072,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2005,18815,9560,0.144,1114,910,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2006,24945,7145,0.187,1025,840,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2007,8099,6393,0.155,847,702,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2008,21213,5771,0.153,723,662,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2009,51059,4607,0.138,554,466,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2010,34975,5438,0.123,850,464,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2011,29065,7244,0.049,413,365,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2012,39818,9148,0.107,876,198,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2013,69718,10743,0.036,358,206,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2014,21497,13248,0.03,397,213,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2015,37852,15063,0.023,308,161,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2016,8955,13549,0.013,142,82,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2017,22768,14796,0.013,143,84,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2018,18988,12431,0.03,257,215,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2019,13587,10737,0.036,302,295,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2020,8798,9059,0.03,206,181,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2021,86374,8363,0.023,137,133,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2022,3429,6096,0.024,125,98,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
Irish,cod.27.7a,2023,21811,11714,NA,NA,NA,0,2-4,2023,12303,17096,17096,0.16,0.162,0.31
