"Full.F","YPR","SPR","SSBPR","Freport_5-5"
0.52,0.026256261662018,0.280577265973528,0.0447442950238015,0.52
0.53,0.0263837646944606,0.275822748601933,0.0439860813202347,0.53
0.54,0.0265069151536277,0.271190729253891,0.0432474026552131,0.54
0.55,0.0266258943094596,0.266676751633873,0.0425275483731489,0.55
0.56,0.0267408741588265,0.26227656835258,0.041825841133206,0.56
0.57,0.0268520179841402,0.257986129077302,0.0411416350196114,0.57
0.58,0.0269594808735025,0.253801569466136,0.0404743137769689,0.58
0.59,0.0270634102053623,0.249719200826916,0.0398232891611455,0.59
0.6,0.027163946100402,0.245735500446758,0.0391879993971024,0.6
0.61,0.0272612218431381,0.241847102542641,0.0385679077357625,0.61
0.62,0.0273553642755164,0.238050789787537,0.0379625011026639,0.62
0.63,0.027446494164587,0.234343485370384,0.0373712888317461,0.63
0.64,0.0275347265461755,0.230722245551556,0.0367938014781526,0.64
0.65,0.0276201710463091,0.227184252678582,0.0362295897044324,0.65
0.66,0.0277029321820107,0.223726808629681,0.0356782232349662,0.66
0.67,0.0277831096429494,0.220347328655253,0.0351392898738538,0.67
0.68,0.027860798555311,0.217043335589786,0.0346123945818747,0.68
0.69,0.0279360897291505,0.213812454408792,0.0340971586084695,0.69
0.7,0.0280090698903837,0.210652407107328,0.0335932186750067,0.7
0.71,0.0280798218984892,0.207561007878451,0.0331002262058794,0.71
0.72,0.0281484249509082,0.204536158571584,0.0326178466042414,0.72
0.73,0.0282149547750529,0.20157584441228,0.0321457585694271,0.73
0.74,0.028279483808767,0.198678129966227,0.0316836534533228,0.74
0.75,0.0283420813700165,0.195841155331615,0.0312312346531549,0.75
0.76,0.0284028138165333,0.193063132545138,0.0307882170383469,0.76
0.77,0.028461744696077,0.190342342187972,0.0303543264092662,0.77
0.78,0.0285189348879357,0.187677130179031,0.0299292989858389,0.78
0.79,0.0285744427362376,0.18506590474375,0.0295128809241528,0.79
0.8,0.0286283241756054,0.182507133547407,0.0291048278593033,0.8
0.81,0.028680632849649,0.179999340982834,0.028704904472858,0.81
0.82,0.0287314202227515,0.17754110560302,0.0283128840834273,0.82
0.83,0.0287807356855783,0.175131057689781,0.0279285482589358,0.83
0.84,0.0288286266547031,0.172767876950281,0.0275516864492812,0.84
0.85,0.0288751386667189,0.17045029033374,0.0271820956381586,0.85
0.86,0.0289203154671797,0.168177069961165,0.026819580012911,0.86
0.87,0.0289641990946882,0.165947031161438,0.02646395065134,0.87
0.88,0.0290068299604312,0.163759030607537,0.0261150252244838,0.88
0.89,0.0290482469234368,0.161611964547051,0.0257726277144337,0.89
0.9,0.0290884873618136,0.159504767121551,0.0254365881463211,0.9
0.91,0.0291275872402138,0.157436408769735,0.0251067423336624,0.91
0.92,0.0291655811737437,0.15540589470957,0.0247829316363033,0.92
0.93,0.0292025024885337,0.153412263494975,0.0244650027302496,0.93
0.94,0.0292383832791644,0.151454585642868,0.0241528073887193,0.94
0.95,0.0292732544631313,0.149531962326659,0.023846202273791,0.95
0.96,0.0293071458325219,0.147643524132519,0.0235450487380631,0.96
0.97,0.0293400861030644,0.145788429874979,0.0232492126357747,0.97
0.98,0.0293721029606999,0.143965865468624,0.0229585641428725,0.98
0.99,0.0294032231058192,0.142175042852857,0.0226729775855399,0.99
1,0.0294334722952947,0.140415198966867,0.0223923312767331,1
1.01,0.029462875382434,0.138685594772136,0.022116507360298,1.01
1.02,0.0294914563549689,0.136985514319953,0.0218453916622647,1.02
1.03,0.0295192383711905,0.135314263861579,0.0215788735489433,1.03
1.04,0.0295462437943315,0.133671170998822,0.021316845791464,1.04
1.05,0.029572494225293,0.132055583872926,0.0210592044364281,1.05
1.06,0.0295980105338045,0.130466870389807,0.0208058486823532,1.06
1.07,0.0296228128881038,0.128904417479751,0.0205566807616175,1.07
1.08,0.0296469207832142,0.127367630389849,0.0203116058276211,1.08
1.09,0.0296703530678962,0.125855932007488,0.0200705318469026,1.09
1.1,0.0296931279703421,0.12436876221335,0.0198333694959597,1.1
1.11,0.0297152631226818,0.12290557726244,0.0196000320625411,1.11
1.12,0.0297367755843607,0.121465849191762,0.0193704353511861,1.12
1.13,0.0297576818644491,0.120049065253312,0.0191444975928042,1.13
1.14,0.0297779979429389,0.118654727371168,0.0189221393580946,1.14
1.15,0.0297977392910789,0.117282351621488,0.0187032834746212,1.15
1.16,0.0298169208907991,0.115931467734317,0.0184878549473642,1.16
1.17,0.029835557253269,0.114601618616152,0.0182757808825825,1.17
1.18,0.0298536624366346,0.113292359892269,0.018066990414828,1.18
1.19,0.0298712500629762,0.112003259467886,0.0178614146369624,1.19
1.2,0.0298883333345237,0.110733897107255,0.0176589865330349,1.2
1.21,0.0299049250491686,0.10948386402986,0.0174596409138865,1.21
1.22,0.0299210376153061,0.108252762522912,0.0172633143553537,1.22
1.23,0.0299366830660412,0.107040205569387,0.0170699451389511,1.23
1.24,0.0299518730727881,0.105845816490901,0.0168794731949197,1.24
1.25,0.0299666189582952,0.104669228604724,0.0166918400475302,1.25
1.26,0.0299809317091205,0.103510084894311,0.0165069887625421,1.26
1.27,0.0299948219875854,0.102368037692725,0.0163248638967173,1.27
1.28,0.030008300143232,0.101242748378365,0.0161454114492992,1.28
1.29,0.0300213762238061,0.100133887082478,0.0159685788153668,1.29
1.3,0.0300340599857895,0.0990411324078914,0.0157943147409818,1.3
1.31,0.0300463609045027,0.0979641711585068,0.0156225692800498,1.31
1.32,0.0300582881837964,0.0969026980790542,0.0154532937528183,1.32
1.33,0.0300698507653536,0.0958564156046757,0.0152864407059423,1.33
1.34,0.0300810573376177,0.0948250336199044,0.0151219638740482,1.34
1.35,0.0300919163443653,0.0938082692266331,0.0149598181427311,1.35
1.36,0.0301024359929388,0.0928058465206882,0.0147999595129247,1.36
1.37,0.030112624262156,0.0918174963766406,0.0146423450665844,1.37
1.38,0.0301224889099082,0.0908429562405035,0.0144869329336286,1.38
1.39,0.0301320374804644,0.0898819699299832,0.014333682260084,1.39
1.4,0.0301412773114918,0.0889342874419687,0.0141825531773856,1.4
1.41,0.0301502155408064,0.0879996647669534,0.0140335067727821,1.41
1.42,0.0301588591128661,0.0870778637101044,0.0138865050608017,1.42
1.43,0.0301672147850158,0.0861686517187032,0.013741510955733,1.43
1.44,0.0301752891334973,0.0852718017156966,0.0135984882450819,1.44
1.45,0.0301830885592334,0.0843870919391073,0.0134574015639611,1.45
1.46,0.0301906192933947,0.0835143057870671,0.0133182163703779,1.46
1.47,0.0301978874027611,0.0826532316682448,0.0131808989213812,1.47
1.48,0.0302048987948839,0.081803662857452,0.0130454162500349,1.48
1.49,0.030211659223059,0.0809653973562195,0.0129117361431835,1.49
1.5,0.030218174291118,0.0801382377581477,0.0127798271199792,1.5
1.51,0.0302244494580457,0.07932199111884,0.0126496584111401,1.51
1.52,0.0302304900424298,0.0785164688302411,0.0125211999389105,1.52
1.53,0.0302363012267523,0.0777214864992066,0.0123944222976961,1.53
1.54,0.0302418880615258,0.0769368638301382,0.0122692967353475,1.54
1.55,0.030247255469284,0.0761624245115299,0.0121457951350678,1.55
1.56,0.0302524082484308,0.0753979961062707,0.0120238899979185,1.56
1.57,0.0302573510769541,0.074643409945563,0.0119035544259026,1.57
1.58,0.0302620885160095,0.0738985010263171,0.0117847621056019,1.58
1.59,0.03026662501338,0.0731631079118898,0.0116674872923478,1.59
1.6,0.0302709649068152,0.0724370726360422,0.0115517047949045,1.6
1.61,0.0302751124272565,0.0717202406099939,0.0114373899606477,1.61
1.62,0.030279071701951,0.0710124605324604,0.011324518661217,1.62
1.63,0.0302828467574604,0.0703135843025594,0.0112130672786279,1.63
1.64,0.0302864415225668,0.0696234669354836,0.0111030126918233,1.64
1.65,0.0302898598310818,0.0689419664808352,0.0109943322636502,1.65
1.66,0.0302931054245606,0.0682689439435265,0.0108870038282457,1.66
1.67,0.030296181954926,0.0676042632071518,0.0107810056788169,1.67
1.68,0.0302990929870052,0.0669477909597424,0.0106763165558008,1.68
1.69,0.0303018420009828,0.0662993966218171,0.0105729156353904,1.69
1.7,0.0303044323947737,0.0656589522766476,0.010470782518414,1.7
1.71,0.0303068674863177,0.0650263326026576,0.0103698972195547,1.71
1.72,0.0303091505158002,0.064401414807882,0.0102702401568984,1.72
1.73,0.0303112846478008,0.0637840785664116,0.0101717921417985,1.73
1.74,0.0303132729733725,0.0631742059567542,0.0100745343690465,1.74
1.75,0.0303151185120547,0.0625716814020449,0.0099784484073366,1.75
1.76,0.030316824213822,0.0619763916120407,0.00988351619001605,1.76
1.77,0.0303183929609706,0.0613882255268384,0.00978972000610937,1.77
1.78,0.0303198275699463,0.0608070742622557,0.00969704249160826,1.78
1.79,0.0303211307931137,0.0602328310568176,0.00960546662101738,1.79
1.8,0.0303223053204712,0.0596653912202954,0.00951497569914774,1.8
1.81,0.0303233537813119,0.0591046520837429,0.00942555335314889,1.81
1.82,0.0303242787458337,0.0585505129509808,0.009337183524772,1.82
1.83,0.0303250827266994,0.0580028750514803,0.00924985046285608,1.83
1.84,0.0303257681805488,0.0574616414945976,0.00916353871602971,1.84
1.85,0.0303263375094646,0.0569267172251164,0.00907823312562127,1.85
