"stock","model","file","metric","rho"
"SNEMAwinter","SAM","Mohn.txt","Fbar",-0.07692599
"SNEMAwinter","SAM_constantFSelectivity","Mohn.txt","R",0.3438399
"SNEMAwinter","SAM_constantFSelectivity","Mohn.txt","SSB",0.1058269
"SNEMAwinter","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.1020803
"SNEMAwinter","WHAM","Mohn.txt","R",0.303751454501454
"SNEMAwinter","WHAM","Mohn.txt","SSB",0.107545729518073
"SNEMAwinter","WHAM","Mohn.txt","Fbar",-0.103440008363239
"SNEMAYT","a4asca","sep-mohn.txt","Fbar",-0.212859362663941
"SNEMAYT","a4asca","sep-mohn.txt","SSB",0.450922554007761
"SNEMAYT","a4asca","sep-mohn.txt","R",1.15839416589726
"SNEMAYT","a4asca","te-mohn.txt","Fbar",-0.0807317964046943
"SNEMAYT","a4asca","te-mohn.txt","SSB",0.357009346046431
"SNEMAYT","a4asca","te-mohn.txt","R",1.48994444798695
"SNEMAYT","ASAP","Mohn.txt","R",2.16996465206578
"SNEMAYT","ASAP","Mohn.txt","SSB",1.41549391278382
"SNEMAYT","ASAP","Mohn.txt","Fbar",-0.597694614944961
"SNEMAYT","SAM","Mohn.txt","R",0.5163966
"SNEMAYT","SAM","Mohn.txt","SSB",0.3083237
"SNEMAYT","SAM","Mohn.txt","Fbar",-0.1590431
"SNEMAYT","SAM_constantFSelectivity","Mohn.txt","R",0.4567174
"SNEMAYT","SAM_constantFSelectivity","Mohn.txt","SSB",0.2255543
"SNEMAYT","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.1885611
"SNEMAYT","SAM_useCVs","Mohn.txt","R",0.41996964
"SNEMAYT","SAM_useCVs","Mohn.txt","SSB",0.18705415
"SNEMAYT","SAM_useCVs","Mohn.txt","Fbar",-0.07202027
"SNEMAYT","WHAM","Mohn.txt","R",0.361000334304044
"SNEMAYT","WHAM","Mohn.txt","SSB",0.00908410549508099
"SNEMAYT","WHAM","Mohn.txt","Fbar",-0.00281260535627782
"USAtlHerring","a4asca","sep-mohn.txt","Fbar",-0.46395605348276
"USAtlHerring","a4asca","sep-mohn.txt","SSB",1.25529200701975
"USAtlHerring","a4asca","sep-mohn.txt","R",0.840598879358319
"USAtlHerring","a4asca","te-mohn.txt","Fbar",-0.6503105066054
"USAtlHerring","a4asca","te-mohn.txt","SSB",1.94673451710858
"USAtlHerring","a4asca","te-mohn.txt","R",8.3786248160266
"USAtlHerring","ASAP","Mohn.txt","R",-0.0784031346421141
"USAtlHerring","ASAP","Mohn.txt","SSB",0.241814693367419
"USAtlHerring","ASAP","Mohn.txt","Fbar",-0.149217680823038
"USAtlHerring","SAM","Mohn.txt","R",0.5081417
"USAtlHerring","SAM","Mohn.txt","SSB",0.4955608
"USAtlHerring","SAM","Mohn.txt","Fbar",-0.4341995
"USAtlHerring","SAM_constantFSelectivity","Mohn.txt","R",0.7722415
"USAtlHerring","SAM_constantFSelectivity","Mohn.txt","SSB",0.6682333
"USAtlHerring","SAM_constantFSelectivity","Mohn.txt","Fbar",-0.3286225
"USAtlHerring","SAM_useCVs","Mohn.txt","R",0.3272989
"USAtlHerring","SAM_useCVs","Mohn.txt","SSB",0.3968428
"USAtlHerring","SAM_useCVs","Mohn.txt","Fbar",-0.3804235
"USAtlHerring","WHAM","Mohn.txt","R",-0.134212032446382
"USAtlHerring","WHAM","Mohn.txt","SSB",0.282233033407279
"USAtlHerring","WHAM","Mohn.txt","Fbar",-0.151660442170591
"WhiteHake","a4asca","sep-mohn.txt","Fbar",-0.108085914229313
"WhiteHake","a4asca","sep-mohn.txt","SSB",0.1130192579873
"WhiteHake","a4asca","sep-mohn.txt","R",0.510965842044505
"WhiteHake","a4asca","te-mohn.txt","Fbar",0.0376675854689518
"WhiteHake","a4asca","te-mohn.txt","SSB",-0.0345096124145362
"WhiteHake","a4asca","te-mohn.txt","R",1.75381774480914
"WhiteHake","ASAP","Mohn.txt","R",0.360667622919479
"WhiteHake","ASAP","Mohn.txt","SSB",0.757485059455531
"WhiteHake","ASAP","Mohn.txt","Fbar",-0.503262602678811
"WhiteHake","SAM","Mohn.txt","R",0.2885611
"WhiteHake","SAM","Mohn.txt","SSB",0.4854177
"WhiteHake","SAM","Mohn.txt","Fbar",-0.3205132
"WhiteHake","SAM_useCVs","Mohn.txt","R",0.2636657
"WhiteHake","SAM_useCVs","Mohn.txt","SSB",0.5596185
"WhiteHake","SAM_useCVs","Mohn.txt","Fbar",-0.3933524
"WhiteHake","WHAM","Mohn.txt","R",0.143237163475421
"WhiteHake","WHAM","Mohn.txt","SSB",0.402686544785767
"WhiteHake","WHAM","Mohn.txt","Fbar",-0.310538654917834
