"stock","model","metric","rho"
"WhiteHake","m1","SSB",0.296581242380156
"WhiteHake","m1","Fbar",-0.264198782251485
"WhiteHake","m2","R",0.245958530967335
"WhiteHake","m2","SSB",0.413872899680062
"WhiteHake","m2","Fbar",-0.333601555863424
"WhiteHake","m3","R",0.136785744479672
"WhiteHake","m3","SSB",0.149341535286125
"WhiteHake","m3","Fbar",-0.14899427499227
"WhiteHake","m4","R",0.143237163475421
"WhiteHake","m4","SSB",0.402686544785767
"WhiteHake","m4","Fbar",-0.310538654917834
